Id,Label,timeset,indegree,outdegree,degree,modularity_class,clustering,eigencentrality,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,pageranks
n258,lib/Type/Real.pod,,69,94,163,80,0.314853,0.119557,93,104,197,7,0.303355,0.414459,242.377141,0,0.001696
n259,lib/Type/Regex.pod,,58,70,128,80,0.405819,0.104188,86,75,161,7,0.299624,0.394315,47.003222,0,0.001329
n260,lib/Type/Routine.pod,,60,69,129,80,0.399709,0.104281,91,73,164,7,0.300034,0.395455,84.411363,0,0.001373
n261,lib/Type/Set.pod,,44,67,111,80,0.466749,0.096645,48,68,116,6,0.303881,0.38759,352.519451,0,0.00121
n262,lib/Type/Setty.pod,,78,89,167,80,0.300952,0.119971,109,97,206,6,0.310113,0.419897,1034.998029,0,0.001805
n263,lib/Type/Signature.pod,,66,68,134,80,0.379811,0.106686,104,76,180,6,0.370355,0.45591,15758.484159,0,0.001453
n264,lib/Type/Str.pod,,68,69,137,80,0.365017,0.107024,109,75,184,7,0.302205,0.401537,532.482383,0,0.001555
n265,lib/Type/Version.pod,,67,65,132,80,0.391279,0.106264,107,69,176,7,0.300034,0.396596,59.8931,0,0.001369
n266,lib/Type/Whatever.pod,,101,81,182,80,0.277973,0.126269,153,82,235,7,0.305468,0.425482,379.237166,0,0.001904
n267,lib/Type/X/AdHoc.pod,,50,81,131,80,0.436113,0.110051,53,139,192,7,0.302727,0.399275,35.517691,0,0.001334
n268,lib/Type/X/Anon/Augment.pod,,51,80,131,80,0.436113,0.110051,55,140,195,7,0.302727,0.399275,35.517691,0,0.001334
n269,lib/Type/X/Anon/Multi.pod,,52,79,131,80,0.436113,0.110051,57,135,192,7,0.302727,0.399275,35.517691,0,0.001334
n270,lib/Type/X/Attribute/NoPackage.pod,,53,78,131,80,0.436113,0.110051,59,133,192,7,0.302727,0.399275,35.517691,0,0.001334
n271,lib/Type/X/Attribute/Package.pod,,54,77,131,80,0.436113,0.110051,61,131,192,7,0.302727,0.399275,35.517691,0,0.001334
n272,lib/Type/X/Attribute/Undeclared.pod,,55,76,131,80,0.436113,0.110051,63,129,192,7,0.302727,0.399275,35.517691,0,0.001334
n273,lib/Type/X/Augment/NoSuchType.pod,,58,75,133,80,0.424129,0.110326,70,132,202,7,0.302936,0.400415,73.606007,0,0.001388
n274,lib/Type/X/Bind/NativeType.pod,,57,74,131,80,0.436113,0.110051,67,125,192,7,0.302727,0.399275,35.517691,0,0.001334
n275,lib/Type/X/Comp.pod,,56,52,108,80,0.492385,0.096638,58,57,115,7,0.29749,0.382722,4.236827,0,0.001113
n276,lib/Type/X/Composition/NotComposable.pod,,59,72,131,80,0.436113,0.110051,70,122,192,7,0.302727,0.399275,35.517691,0,0.001334
n277,lib/Type/X/ControlFlow.pod,,61,70,131,80,0.436113,0.110051,74,123,197,7,0.302727,0.399275,35.517691,0,0.001334
n278,lib/Type/X/Declaration/Scope.pod,,63,68,131,80,0.436113,0.110051,76,116,192,7,0.302727,0.399275,35.517691,0,0.001334
n279,lib/Type/X/Eval/NoSuchLang.pod,,65,66,131,80,0.436113,0.110051,79,113,192,7,0.302727,0.399275,35.517691,0,0.001334
n280,lib/Type/X/Export/NameClash.pod,,66,65,131,80,0.436113,0.110051,81,111,192,7,0.302727,0.399275,35.517691,0,0.001334
n281,lib/Type/X/IO/Chdir.pod,,67,64,131,80,0.436113,0.110051,83,109,192,7,0.302727,0.399275,35.517691,0,0.001334
n282,lib/Type/X/IO/Copy.pod,,69,62,131,80,0.436113,0.110051,86,106,192,7,0.302727,0.399275,35.517691,0,0.001334
n283,lib/Type/X/IO/Dir.pod,,71,60,131,80,0.436113,0.110051,89,103,192,7,0.302727,0.399275,35.517691,0,0.001334
n284,lib/Type/X/IO/Mkdir.pod,,72,59,131,80,0.436113,0.110051,91,101,192,7,0.302727,0.399275,35.517691,0,0.001334
n285,lib/Type/X/IO/Rename.pod,,73,58,131,80,0.436113,0.110051,93,99,192,7,0.302727,0.399275,35.517691,0,0.001334
n286,lib/Type/X/IO/Rmdir.pod,,74,57,131,80,0.436113,0.110051,95,97,192,7,0.302727,0.399275,35.517691,0,0.001334
